id,text,date,source,clean,token_count
news_0,The Rise of Ozempic for Weight Loss Sparks Ethical Concerns - Columbia University Department of Psychiatry. The Rise of Ozempic for Weight Loss Sparks Ethical Concerns Columbia University Department of Psychiatry,2024-10-16,news,rise ozempic weight loss spark ethical concern columbia university department psychiatry rise ozempic weight loss spark ethical concern columbia university department psychiatry,22
news_1,The Medical Minute: What to know about Ozempic and weight loss drugs - Penn State Health News. The Medical Minute: What to know about Ozempic and weight loss drugs Penn State Health News,2024-07-10,news,medical minute know ozempic weight loss drug penn state health news medical minute know ozempic weight loss drug penn state health news,22
news_2,"The pros, cons, and unknowns of popular weight-loss drugs - Johns Hopkins University. The pros, cons, and unknowns of popular weight-loss drugs Johns Hopkins University",2024-01-11,news,pro con unknown popular weightloss drug john hopkins university pro con unknown popular weightloss drug john hopkins university,18
news_3,Weight-loss drugs aren't a magic bullet. Lifestyle changes are key to lasting health - NPR. Weight-loss drugs aren't a magic bullet. Lifestyle changes are key to lasting health NPR,2024-02-12,news,weightloss drug arent magic bullet lifestyle change key lasting health npr weightloss drug arent magic bullet lifestyle change key lasting health npr,22
news_4,The Promise of Weight-Loss Drugs (Published 2024) - The New York Times. The Promise of Weight-Loss Drugs (Published 2024) The New York Times,2024-06-24,news,promise weightloss drug published new york time promise weightloss drug published new york time,14
news_5,Mayo Clinic Minute: Weight-loss medications alone are not a quick fix - Mayo Clinic News Network. Mayo Clinic Minute: Weight-loss medications alone are not a quick fix Mayo Clinic News Network,2024-01-11,news,mayo clinic minute weightloss medication alone quick fix mayo clinic news network mayo clinic minute weightloss medication alone quick fix mayo clinic news network,24
news_6,How Americans View Weight-Loss Drugs and Their Potential Impact on Obesity in the U.S. - Pew Research Center. How Americans View Weight-Loss Drugs and Their Potential Impact on Obesity in the U.S. Pew Research Center,2024-02-26,news,american view weightloss drug potential impact obesity pew research center american view weightloss drug potential impact obesity pew research center,20
news_7,Considering taking a weight-loss drug like Ozempic? Here are some potential risks and benefits - The Conversation. Considering taking a weight-loss drug like Ozempic? Here are some potential risks and benefits The Conversation,2024-04-01,news,considering taking weightloss drug ozempic potential risk benefit conversation considering taking weightloss drug ozempic potential risk benefit conversation,18
news_8,Lost and found: Life after Ozempic and other weight-loss drugs was just the start for these four people - CNN. Lost and found: Life after Ozempic and other weight-loss drugs was just the start for these four people CNN,2024-11-16,news,lost found life ozempic weightloss drug start four people cnn lost found life ozempic weightloss drug start four people cnn,20
news_9,Young people are increasingly using Wegovy and Ozempic - michiganmedicine.org. Young people are increasingly using Wegovy and Ozempic michiganmedicine.org,2024-05-22,news,young people increasingly using wegovy ozempic michiganmedicineorg young people increasingly using wegovy ozempic michiganmedicineorg,14
news_10,Ozempic and Other Weight-Loss Drugs Are Sparking a Risky New War on Obesity - Scientific American. Ozempic and Other Weight-Loss Drugs Are Sparking a Risky New War on Obesity Scientific American,2024-01-24,news,ozempic weightloss drug sparking risky new war obesity scientific american ozempic weightloss drug sparking risky new war obesity scientific american,20
news_11,Weight Loss Drugs: Is Ozempic the Answer? - Kettering Health. Weight Loss Drugs: Is Ozempic the Answer? Kettering Health,2024-07-02,news,weight loss drug ozempic answer kettering health weight loss drug ozempic answer kettering health,14
news_12,"GLP-1 diabetes and weight-loss drug side effects: ""Ozempic face"" and more - Harvard Health. GLP-1 diabetes and weight-loss drug side effects: ""Ozempic face"" and more Harvard Health",2024-02-05,news,glp diabetes weightloss drug side effect ozempic face harvard health glp diabetes weightloss drug side effect ozempic face harvard health,20
news_13,How do drugs like Ozempic work for weight loss? - Illinois News Bureau. How do drugs like Ozempic work for weight loss? Illinois News Bureau,2024-07-09,news,drug ozempic work weight loss illinois news bureau drug ozempic work weight loss illinois news bureau,16
news_14,Why do so many people stop taking weight-loss drugs within a year? - Northwestern Now News. Why do so many people stop taking weight-loss drugs within a year? Northwestern Now News,2024-11-08,news,many people stop taking weightloss drug within year northwestern news many people stop taking weightloss drug within year northwestern news,20
news_15,What happens when you stop taking weight-loss drugs? - BBC. What happens when you stop taking weight-loss drugs? BBC,2024-05-21,news,happens stop taking weightloss drug bbc happens stop taking weightloss drug bbc,12
news_16,Long-term weight loss effects of semaglutide in obesity without diabetes in the SELECT trial - Nature. Long-term weight loss effects of semaglutide in obesity without diabetes in the SELECT trial Nature,2024-05-13,news,longterm weight loss effect semaglutide obesity without diabetes select trial nature longterm weight loss effect semaglutide obesity without diabetes select trial nature,22
news_17,"Mounjaro leads to significantly more weight loss than Ozempic, study suggests - CNN. Mounjaro leads to significantly more weight loss than Ozempic, study suggests CNN",2024-07-08,news,mounjaro lead significantly weight loss ozempic study suggests cnn mounjaro lead significantly weight loss ozempic study suggests cnn,18
news_18,"No, taking drugs like Ozempic isn’t ‘cheating’ at weight loss or the ‘easy way out’ - The Conversation. No, taking drugs like Ozempic isn’t ‘cheating’ at weight loss or the ‘easy way out’ The Conversation",2024-04-10,news,taking drug ozempic isnt cheating weight loss easy way conversation taking drug ozempic isnt cheating weight loss easy way conversation,20
news_19,Which Weight Loss Drug Should You Choose (if You Get to Choose)? (Published 2024) - The New York Times. Which Weight Loss Drug Should You Choose (if You Get to Choose)? (Published 2024) The New York Times,2024-07-23,news,weight loss drug choose choose published new york time weight loss drug choose choose published new york time,18
news_20,Ozempic for Weight Loss: What You Need to Know - CU Anschutz newsroom. Ozempic for Weight Loss: What You Need to Know CU Anschutz newsroom,2024-04-09,news,ozempic weight loss need know anschutz newsroom ozempic weight loss need know anschutz newsroom,14
news_21,"I lost 42 pounds with Ozempic, but was shaken by the drug's psychological toll - TODAY.com. I lost 42 pounds with Ozempic, but was shaken by the drug's psychological toll TODAY.com",2024-06-20,news,lost pound ozempic shaken drug psychological toll todaycom lost pound ozempic shaken drug psychological toll todaycom,16
news_22,"Exclusive: Most patients stop using Wegovy, Ozempic for weight loss within two years - Reuters. Exclusive: Most patients stop using Wegovy, Ozempic for weight loss within two years Reuters",2024-07-10,news,exclusive patient stop using wegovy ozempic weight loss within two year reuters exclusive patient stop using wegovy ozempic weight loss within two year reuters,24
news_23,"How Ozempic, other weight-loss drugs are ""changing medicine"" - CBS News. How Ozempic, other weight-loss drugs are ""changing medicine"" CBS News",2024-01-21,news,ozempic weightloss drug changing medicine cbs news ozempic weightloss drug changing medicine cbs news,14
news_24,How ‘Ozempic shaming’ illuminates complexities of treating weight problems - Harvard Gazette. How ‘Ozempic shaming’ illuminates complexities of treating weight problems Harvard Gazette,2024-02-05,news,ozempic shaming illuminates complexity treating weight problem harvard gazette ozempic shaming illuminates complexity treating weight problem harvard gazette,18
news_25,WHO issues warning on falsified medicines used for diabetes treatment and weight loss - World Health Organization (WHO). WHO issues warning on falsified medicines used for diabetes treatment and weight loss World Health Organization (WHO),2024-06-20,news,issue warning falsified medicine used diabetes treatment weight loss world health organization issue warning falsified medicine used diabetes treatment weight loss world health organization,24
news_26,Mounjaro bests Ozempic for weight loss in first head-to-head comparison of real-world use - Los Angeles Times. Mounjaro bests Ozempic for weight loss in first head-to-head comparison of real-world use Los Angeles Times,2024-07-08,news,mounjaro best ozempic weight loss first headtohead comparison realworld use los angeles time mounjaro best ozempic weight loss first headtohead comparison realworld use los angeles time,26
news_27,What Are the Side Effects of New Weight Loss Medications? - AARP. What Are the Side Effects of New Weight Loss Medications? AARP,2024-01-17,news,side effect new weight loss medication aarp side effect new weight loss medication aarp,14
news_28,Can medications like Ozempic® and Wegovy® decrease your stroke risk? - Nebraska Medicine. Can medications like Ozempic® and Wegovy® decrease your stroke risk? Nebraska Medicine,2024-01-22,news,medication ozempic wegovy decrease stroke risk nebraska medicine medication ozempic wegovy decrease stroke risk nebraska medicine,16
news_29,The rise of Ozempic: how surprise discoveries and lizard venom led to a new class of weight-loss drugs - The Conversation. The rise of Ozempic: how surprise discoveries and lizard venom led to a new class of weight-loss drugs The Conversation,2024-04-01,news,rise ozempic surprise discovery lizard venom led new class weightloss drug conversation rise ozempic surprise discovery lizard venom led new class weightloss drug conversation,24
news_30,The new weight-loss drugs and cancer - Fred Hutchinson Cancer Center. The new weight-loss drugs and cancer Fred Hutchinson Cancer Center,2024-03-28,news,new weightloss drug cancer fred hutchinson cancer center new weightloss drug cancer fred hutchinson cancer center,16
news_31,Thinking Ozempic or Wegovy for Weight Loss? Poison Control Centers Urge Caution - University of Utah Health. Thinking Ozempic or Wegovy for Weight Loss? Poison Control Centers Urge Caution University of Utah Health,2024-09-12,news,thinking ozempic wegovy weight loss poison control center urge caution university utah health thinking ozempic wegovy weight loss poison control center urge caution university utah health,26
news_32,Understanding the Facts about Ozempic and Drugs Used for Weight Loss - Avera Health. Understanding the Facts about Ozempic and Drugs Used for Weight Loss Avera Health,2024-01-30,news,understanding fact ozempic drug used weight loss avera health understanding fact ozempic drug used weight loss avera health,18
news_33,Science for Living: What to know about Ozempic and other weight loss drugs - UMass Chan Medical School. Science for Living: What to know about Ozempic and other weight loss drugs UMass Chan Medical School,2024-02-12,news,science living know ozempic weight loss drug umass chan medical school science living know ozempic weight loss drug umass chan medical school,22
