id,text,date,source,clean,compound,sentiment,month
news_0,New competitor drugs challenge Ozempic dominance in the GLP-1 market. Eli Lilly's tirzepatide shows comparable or superior weight loss results in head-to-head clinical trials.,2024-09-12,news,new competitor drug challenge ozempic dominance glp market eli lillys tirzepatide show comparable superior weight loss result headtohead clinical trial,0.5106,positive,2024-09
news_1,"New research suggests Ozempic may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-03-18,news,new research suggests ozempic may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-03
news_2,Pediatric obesity experts discuss potential role of Wegovy in treating adolescent obesity after promising trial results show significant weight reduction in teenagers aged 12-17.,2024-08-26,news,pediatric obesity expert discus potential role wegovy treating adolescent obesity promising trial result show significant weight reduction teenager aged,0.5423,positive,2024-08
news_3,Concerns raised about long-term safety of GLP-1 receptor agonists like Wegovy. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-10-21,news,concern raised longterm safety glp receptor agonist like wegovy panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-10
news_4,New study finds Wegovy leads to average 16.9% body weight reduction in clinical trial involving 3790 participants. Researchers at Cleveland Clinic report significant improvements in cardiovascular outcomes alongside weight loss.,2024-08-05,news,new study find wegovy lead average body weight reduction clinical trial involving participant researcher cleveland clinic report significant improvement cardiovascular outcome alongside weight loss,0.2023,positive,2024-08
news_5,"Economic analysis shows Wegovy could save healthcare system billions by reducing obesity-related conditions including type 2 diabetes, hypertension, and joint replacement surgeries.",2024-02-27,news,economic analysis show wegovy could save healthcare system billion reducing obesityrelated condition including type diabetes hypertension joint replacement surgery,0.4939,positive,2024-02
news_6,"Social media influencers fuel Wegovy trend, posting dramatic before-and-after photos. Mental health experts express concern about unrealistic expectations and body image pressures.",2024-04-11,news,social medium influencers fuel wegovy trend posting dramatic beforeandafter photo mental health expert express concern unrealistic expectation body image pressure,-0.3182,negative,2024-04
news_7,Wegovy manufacturer faces lawsuits over alleged failure to warn about gastroparesis and other serious gastrointestinal side effects. Plaintiffs claim permanent digestive damage.,2024-08-23,news,wegovy manufacturer face lawsuit alleged failure warn gastroparesis serious gastrointestinal side effect plaintiff claim permanent digestive damage,-0.8316,negative,2024-08
news_8,"Counterfeit Wegovy found in multiple states, prompting FDA warning. Authorities seize thousands of fake injection pens containing potentially dangerous substances from unauthorized sellers.",2024-05-30,news,counterfeit wegovy found multiple state prompting fda warning authority seize thousand fake injection pen containing potentially dangerous substance unauthorized seller,-0.8225,negative,2024-05
news_9,"Telehealth platforms make it easier than ever to get Ozempic prescriptions, but critics warn about inadequate medical oversight and the risks of prescribing weight loss drugs without thorough evaluation.",2024-09-29,news,telehealth platform make easier ever get ozempic prescription critic warn inadequate medical oversight risk prescribing weight loss drug without thorough evaluation,-0.8922,negative,2024-09
